vendorId,jobId,entityId,poNumber,type,description,amount,taxAmount,shippingAmount,totalAmount,status,terms,shipTo,issuedDate,expectedDate
V-001,SGE-SOL-001,SGE-SOL-W,PO-2024-001,blanket,First Solar Series 7 modules — 400 MW (est. 680000 modules) — Sonoran Flats,136000000,0,2400000,138400000,approved,Net 60,Sonoran Flats Solar site — Maricopa County AZ,2024-03-15,2025-12-31
V-001,SGE-SOL-002,SGE-SOL-W,PO-2024-002,blanket,First Solar Series 7 modules — 250 MW (est. 425000 modules) — Silver Bell,85000000,0,1500000,86500000,approved,Net 60,Silver Bell Solar site — Pima County AZ,2024-06-01,2026-03-31
V-002,SGE-WIND-001,SGE-WIND,PO-2024-003,blanket,Vestas V162-6.2 MW turbine supply — 72 units complete (nacelle / tower / blades / controller),302400000,0,8500000,310900000,approved,Net 60,Great Plains Wind site — Ellis County KS,2024-01-20,2025-09-30
V-002,SGE-WIND-002,SGE-WIND,PO-2024-004,blanket,Vestas V162-6.2 MW turbine supply — 48 units complete — Prairie Ridge,201600000,0,5600000,207200000,approved,Net 60,Prairie Ridge Wind site — McLean County IL,2024-07-15,2026-02-28
V-003,SGE-SOL-001,SGE-SOL-W,PO-2024-005,standard,SMA Sunny Central 4600UP inverters — 88 units — Sonoran Flats,16280000,0,320000,16600000,approved,Net 45,Sonoran Flats Solar — inverter staging pad,2024-05-01,2025-04-30
V-004,SGE-BESS-001,SGE-BESS,PO-2025-006,blanket,CATL EnerC+ LFP battery containers — 40 units (5 MW / 20 MWh each) — Phoenix Grid,112000000,0,4200000,116200000,approved,Net 90,SRP Santan Substation — Tempe AZ,2025-04-15,2026-09-30
V-004,SGE-SOL-002,SGE-BESS,PO-2024-007,blanket,CATL EnerC+ LFP battery containers — 50 units — Silver Bell BESS,140000000,0,5200000,145200000,approved,Net 90,Silver Bell Solar + BESS site — Pima County AZ,2024-09-01,2026-04-30
V-012,SGE-TRANS-001,SGE-TRANS,PO-2024-008,standard,SEL-421 / SEL-311L / SEL-487E protective relay packages — AZ and NV substations,2850000,0,45000,2895000,approved,Net 30,SunLink substations — AZ and NV,2024-09-01,2025-06-30
V-009,SGE-TRANS-001,SGE-TRANS,PO-2024-009,service,SunLink 345kV interconnection study and engineering design — both substations,8500000,0,0,8500000,approved,Net 30,Burns & McDonnell KC office — deliverable to SGE HQ,2024-04-01,2025-03-31
V-011,SGE-DEV-001,SGE-DEV,PO-2025-010,service,Ontario Solar Pipeline — environmental impact assessments for 4 sites (500 MW total),2200000,0,0,2200000,approved,Net 30,AECOM Toronto office — deliverable to SGE Canada,2025-02-01,2025-12-31
V-015,SGE,SGE,PO-2025-011,service,Annual insurance program — all assets — property / BI / GL / WC / D&O / cyber / aviation (drone),18500000,0,0,18500000,approved,Net 10,SunGrid HQ — 1 SunGrid Plaza Scottsdale,2025-01-01,2025-12-31
V-001,SGE-SOL-004,SGE-SOL-E,PO-2025-012,blanket,First Solar Series 7 modules — 200 MW — Lone Star Solar I Texas,40000000,0,1100000,41100000,approved,Net 60,Lone Star Solar site — Pecos County TX,2025-02-01,2026-06-30
